Pathways	Reaction-List	Common-Name	Names	Regulated-By	Primary-Products	Primary-Reactants	Object ID	Super-Pathways	Ontology -  all instances of class	Ontology - all subclasses of class	Ontology - direct instances of class	Ontology - direct parents of entity	Ontology - direct subclasses of class	Ontology - pathway type	Final_pathway	Compounds of pathway	Reactants of pathway	Reactions of pathway
PWY-7405	AMINOBENZCOALIG-RXN // RXN-15024 // RXN-15023 // RXN-15022 // RXN-15021	aurachin RE biosynthesis	aurachin RE biosynthesis				PWY-7405					Aurachin-Biosynthesis		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CARBON-DIOXIDE // MALONYL-COA // FARNESYL-PP // CPD-15907 // CPD-15909 // WATER // NADP // CPD-15906 // CPD-15908 // OXYGEN-MOLECULE // NADPH // PROTON // PPI // AMP // 2-AMINOBENZOYL-COA // ANTHRANILATE // CO-A // ATP	ANTHRANILATE // ATP // OXYGEN-MOLECULE // NADPH // PROTON // FARNESYL-PP // MALONYL-COA	AMINOBENZCOALIG-RXN // RXN-15024 // RXN-15023 // RXN-15022 // RXN-15021
PWY-5409	LIPOXYGENASE-RXN // RXN-8504	divinyl ether biosynthesis II	divinyl ether biosynthesis II // etheroleate biosynthesis // 13-LOX and 13-DES pathway				PWY-5409	PWY-5433				Divinyl-Ether-Biosynthesis		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	WATER // CPD-8690 // 13-HYDROPEROXYOCTADECA-911-DIENOATE // LINOLEIC_ACID // OXYGEN-MOLECULE	LINOLEIC_ACID // OXYGEN-MOLECULE	LIPOXYGENASE-RXN // RXN-8504
PWY-6302	RXN-10710 // RXN-10709	dihydroconiferyl alcohol biosynthesis	dihydroconiferyl alcohol biosynthesis // dihydroconiferyl aldehyde biosynthesis				PWY-6302					LIGNIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CONIFERYL-ALDEHYDE // NADP // CPD-94 // PROTON // CPD-11530 // NADPH	PROTON // NADPH // CONIFERYL-ALDEHYDE	RXN-10710 // RXN-10709
PWY-7256	RXN-14446 // RXN-14436 // RXN-14435 // RXN-14434 // RXN-13969 // RXN-14432 // RXN-13967 // RXN-13970	cyanidin diglucoside biosynthesis (acyl-glucose dependent)	cyanidin diglucoside biosynthesis (acyl-glucose dependent)				PWY-7256					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	SINAPATE // 1-O-SINAPOYL-BETA-D-GLUCOSE // VANILLATE // CPD-15006 // 4-hydroxybenzoate // CPD-15283 // PROTON // Glucopyranose // CPD-7138 // WATER // FERULIC-ACID // CPD-15005 // CPD1F-766 // CPD-15281	CPD-15281 // WATER // CPD-15283 // CPD-15006 // 1-O-SINAPOYL-BETA-D-GLUCOSE	RXN-14446 // RXN-14436 // RXN-14435 // RXN-14434 // RXN-13969 // RXN-14432 // RXN-13967 // RXN-13970
PWY-5139	RXN-7998 // RXN-7997 // RXN-7832 // RXN-7834 // RXN-7830 // RXN-7828	pelargonidin conjugates biosynthesis	pelargonidin conjugates biosynthesis				PWY-5139	PWY-5312				ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7137 // UDP-L-RHAMNOSE // CPD-7149 // MALONYL-COA // UDP // CPD-7148 // CPD-12575 // CPD-7144 // PROTON // CPD-7383 // CAFFEOYL-COA // CO-A // CPD-7384 // P-COUMAROYL-COA // PELARGONIDIN-3-GLUCOSIDE-CMPD	P-COUMAROYL-COA // PELARGONIDIN-3-GLUCOSIDE-CMPD // CAFFEOYL-COA // CPD-12575 // MALONYL-COA // UDP-L-RHAMNOSE	RXN-7998 // RXN-7997 // RXN-7832 // RXN-7834 // RXN-7830 // RXN-7828
PWY-5268	RXN-8139 // 2.3.1.172-RXN // RXN-8140 // RXN-7997 // RXN-8138 // RXN-7828	salvianin biosynthesis	salvianin biosynthesis				PWY-5268	PWY-5312				ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7137 // PROTON // PELARGONIDIN-3-GLUCOSIDE-CMPD // CAFFEOYL-COA // UDP // CPD-12575 // CPD-7383 // CPD-7140 // CO-A // CPD-7142 // CPD-7141 // MALONYL-COA	MALONYL-COA // CPD-12575 // PELARGONIDIN-3-GLUCOSIDE-CMPD // CAFFEOYL-COA	RXN-8139 // 2.3.1.172-RXN // RXN-8140 // RXN-7997 // RXN-8138 // RXN-7828
PWY-7280	RXN-14496	ternatin C3 biosynthesis	ternatin C3 biosynthesis				PWY-7280					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	Glucopyranose // CPD-15371 // CPD-7864 // CPD-8674	CPD-7864 // CPD-8674	RXN-14496
PWY-5295	RXN-8209 // RXN-8208 // RXN-8206	ternatin C5 biosynthesis	ternatin C5 biosynthesis				PWY-5295	PWY-5310				ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CO-A // CPD-7117 // MALONYL-COA // CPD-7862 // PROTON // UDP // CPD-7864 // CPD-12575 // CPD-7870	CPD-12575 // CPD-7117 // MALONYL-COA	RXN-8209 // RXN-8208 // RXN-8206
PWY-7452	RXN-15336 // RXN-15335	cyanidin dimalonylglucoside biosynthesis	cyanidin dimalonylglucoside biosynthesis				PWY-7452					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD1F-766 // CO-A // CPD-7700 // CPD-16542 // MALONYL-COA	MALONYL-COA // CPD1F-766	RXN-15336 // RXN-15335
PWY-7253	RXN-14427 // RXN-14426 // RXN-14425	apigeninidin 5-<i>O</i>-glucoside biosynthesis	apigeninidin 5-<i>O</i>-glucoside biosynthesis				PWY-7253					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	NADPH // NARINGENIN-CMPD // NADP // WATER // CARBON-DIOXIDE // SUC // CPD-11940 // 2-KETOGLUTARATE // OXYGEN-MOLECULE // PROTON // UDP // CPD-15272 // CPD-12575 // CPD-7096	CPD-12575 // 2-KETOGLUTARATE // OXYGEN-MOLECULE // NARINGENIN-CMPD // NADPH	RXN-14427 // RXN-14426 // RXN-14425
PWY-5125	RXN-18349 // RXN-18348 // 2.4.1.115-RXN	anthocyanin biosynthesis	anthocyanin biosynthesis // cyanidin 3-O-glucoside biosynthesis				PWY-5125					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	UDP // Anthocyanidin-3-O-beta-D-glucosides // CPD-12575 // CARBON-DIOXIDE // SUC // CPD-11512 // 2-KETOGLUTARATE // OXYGEN-MOLECULE // WATER // 3-OH-Anthocyanidins // CPD-19723 // PROTON	CPD-11512 // 2-KETOGLUTARATE // OXYGEN-MOLECULE // CPD-12575	RXN-18349 // RXN-18348 // 2.4.1.115-RXN
PWY-7260	RXN-14448 // RXN-14442 // RXN-14441	delphinidin diglucoside biosynthesis (acyl-glucose dependent)	delphinidin diglucoside biosynthesis (acyl-glucose dependent)				PWY-7260					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7139 // VANILLATE // CPD-15006 // FERULIC-ACID // CPD-15290 // CPD-7117 // CPD-15281	CPD-7117 // CPD-15281 // CPD-15006	RXN-14448 // RXN-14442 // RXN-14441
PWY-7267	RXN-18352 // PELUDP-RXN // LEUCPEL-RXN	anthocyanin biosynthesis (pelargonidin 3-<i>O</i>-glucoside)	anthocyanin biosynthesis (pelargonidin 3-<i>O</i>-glucoside)				PWY-7267					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CARBON-DIOXIDE // SUC // LEUCOPELARGONIDIN-CMPD // 2-KETOGLUTARATE // OXYGEN-MOLECULE // PELARGONIDIN-3-GLUCOSIDE-CMPD // UDP // CPD-12575 // WATER // PELARGONIDIN-CMPD // CPD-19725 // PROTON	CPD-12575 // LEUCOPELARGONIDIN-CMPD // 2-KETOGLUTARATE // OXYGEN-MOLECULE	RXN-18352 // PELUDP-RXN // LEUCPEL-RXN
PWY-7450	RXN-15333 // RXN-15332 // RXN-15331 // RXN-15330 // RXN-15329 // RXN-15328 // RXN-15327 // RXN-15326 // RXN1F-775	anthocyanidin modification (<i>Arabidopsis</i>)	anthocyanidin modification (<i>Arabidopsis</i>) // <i>Arabidopsis</i> anthocyanin A11 biosynthesis				PWY-7450					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-591 // CPD1F-766 // CPD-16541 // UDP-D-XYLOSE // CPD-16535 // P-COUMAROYL-COA // UDP // CPD-12575 // CPD-16536 // CO-A // CPD-16537 // MALONYL-COA // Glucopyranose // CPD-16538 // PROTON // SINAPATE // CPD-16540 // 1-O-SINAPOYL-BETA-D-GLUCOSE // CPD-16539	1-O-SINAPOYL-BETA-D-GLUCOSE // MALONYL-COA // CPD-12575 // P-COUMAROYL-COA // UDP-D-XYLOSE // CPD-591	RXN-15333 // RXN-15332 // RXN-15331 // RXN-15330 // RXN-15329 // RXN-15328 // RXN-15327 // RXN-15326 // RXN1F-775
PWY-7464	RXN-15374 // RXN-15373 // RXN-15372	"cyanidin 3,7-diglucoside polyacylation biosynthesis"	"cyanidin 3,7-diglucoside polyacylation biosynthesis"				PWY-7464					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-15005 // PROTON // 4-hydroxybenzoate // CPD-16602 // Glucopyranose // CPD-16604 // CPD-16603 // CPD-15283	CPD-15283 // CPD-15005	RXN-15374 // RXN-15373 // RXN-15372
PWY-7252	RXN-14424 // RXN-14423 // RXN-14422	luteolinidin 5-<i>O</i>-glucoside biosynthesis	luteolinidin 5-<i>O</i>-glucoside biosynthesis				PWY-7252					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	NADPH // CPD-6994 // NADP // WATER // CARBON-DIOXIDE // SUC // CPD-11941 // OXYGEN-MOLECULE // 2-KETOGLUTARATE // PROTON // UDP // CPD-15269 // CPD-12575 // CPD-11945	CPD-12575 // OXYGEN-MOLECULE // 2-KETOGLUTARATE // CPD-6994 // NADPH	RXN-14424 // RXN-14423 // RXN-14422
PWY-5153	RXN-7785 // RXN-7815	anthocyanin biosynthesis (delphinidin 3-O-glucoside)	anthocyanin biosynthesis (delphinidin 3-O-glucoside)				PWY-5153					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7117 // UDP // CPD-12575 // PROTON // WATER // CARBON-DIOXIDE // SUC // CPD-7090 // CPD-7088 // OXYGEN-MOLECULE // 2-KETOGLUTARATE	CPD-7088 // OXYGEN-MOLECULE // 2-KETOGLUTARATE // CPD-12575	RXN-7785 // RXN-7815
PWY-5284	RXN-8205 // RXN-8204 // RXN-8171 // RXN-8170 // RXN-8169	shisonin biosynthesis	shisonin biosynthesis				PWY-5284					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7138 // CPD-7708 // MALONYL-COA // CO-A // P-COUMAROYL-COA // CPD1F-766 // UDP // CPD-7714 // CPD-12575 // CPD-16541	CPD-12575 // P-COUMAROYL-COA // CPD1F-766 // MALONYL-COA	RXN-8205 // RXN-8204 // RXN-8171 // RXN-8170 // RXN-8169
PWY-7449	RXN-15323 // RXN-15322 // RXN-13962 // RXN-15321 // RXN-13974 // RXN-13960	acylated cyanidin galactoside biosynthesis	acylated cyanidin galactoside biosynthesis				PWY-7449					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-14553 // CPD-591 // UDP-D-XYLOSE // CPD-14998 // UDP // CPD-12575 // CPD-15012 // CPD-15000 // CPD-8674 // CPD-16528 // 1-O-SINAPOYL-BETA-D-GLUCOSE // PROTON // Glucopyranose // CPD-16529 // CPD-14999 // CPD-15281	CPD-15281 // 1-O-SINAPOYL-BETA-D-GLUCOSE // CPD-8674 // CPD-12575 // UDP-D-XYLOSE // CPD-14553 // CPD-591	RXN-15323 // RXN-15322 // RXN-13962 // RXN-15321 // RXN-13974 // RXN-13960
PWY-5307	RXN-8235 // RXN-8234 // RXN-8233 // RXN-8232 // RXN-8231 // RXN-8228	gentiodelphin biosynthesis	gentiodelphin biosynthesis				PWY-5307	PWY-5310				ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7117 // CPD-7966 // CPD-7139 // UDP // PROTON // CPD-12575 // CPD-7960 // CO-A // CPD-7965 // CPD-7963 // CAFFEOYL-COA	CAFFEOYL-COA // CPD-12575 // CPD-7117	RXN-8235 // RXN-8234 // RXN-8233 // RXN-8232 // RXN-8231 // RXN-8228
PWY-7458	RXN-15354 // RXN-15353 // RXN-15352 // RXN-15351 // RXN-15350	violdelphin biosynthesis	violdelphin biosynthesis				PWY-7458					ANTHOCYANIN-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	UDP // UDP-L-RHAMNOSE // CPD-7117 // CPD-7145 // CPD-16558 // PROTON // 4-hydroxybenzoate // CPD-16559 // Glucopyranose // CPD-16561 // CPD-16560 // CPD-15283	CPD-15283 // UDP-L-RHAMNOSE // CPD-7117	RXN-15354 // RXN-15353 // RXN-15352 // RXN-15351 // RXN-15350
PWY-5795	RXN-9098 // RXN-9099	juglone biosynthesis	juglone biosynthesis				PWY-5795					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	WATER // HYDROXYNAPHTHOQUINONE // OXYGEN-MOLECULE // CARBON-DIOXIDE // CPD0-954 // Donor-H2 // DIHYDROXYNAPHTHOATE // Acceptor // PROTON	DIHYDROXYNAPHTHOATE // PROTON // OXYGEN-MOLECULE	RXN-9098 // RXN-9099
PWY-5987	RXN-10664 // RXN-11378 // RXN-9621 // RXN-9620 // RXN-9619 // RXN-9618 // RXN-9617 // RXN-9616	sorgoleone biosynthesis	sorgoleone biosynthesis				PWY-5987					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-10254 // CARBON-DIOXIDE // CO-A // CPD-10255 // MALONYL-COA // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CPD-10256 // Acceptor // CPD-10257 // Donor-H2 // CPD-10259 // Demethylated-methyl-acceptors // CPD-12348 // CPD-10258 // Methylated-methyl-acceptors // WATER // FERRICYTOCHROME-B5 // CPD-10269 // PALMITYL-COA // FERROCYTOCHROME-B5 // OXYGEN-MOLECULE // PROTON	PALMITYL-COA // FERROCYTOCHROME-B5 // OXYGEN-MOLECULE // Methylated-methyl-acceptors // Donor-H2 // S-ADENOSYLMETHIONINE // MALONYL-COA	RXN-10664 // RXN-11378 // RXN-9621 // RXN-9620 // RXN-9619 // RXN-9618 // RXN-9617 // RXN-9616
PWY-7518	RXN-15606 // TYROSINE-AMINOTRANSFERASE-RXN	atromentin biosynthesis	atromentin biosynthesis				PWY-7518					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	GLT // TYR // 2-KETOGLUTARATE // PPI // AMP // CPD-14619 // P-HYDROXY-PHENYLPYRUVATE // ATP	ATP // TYR // 2-KETOGLUTARATE	RXN-15606 // TYROSINE-AMINOTRANSFERASE-RXN
PWY-5780	RXN-14896 // RXN-9073 // RXN-9072	hypericin biosynthesis	hypericin biosynthesis				PWY-5780					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	Acceptor // CPD-9562 // CPD-9561 // OXYGEN-MOLECULE // Donor-H2 // WATER // CPD-9558 // CPD-8215 // CPD-9557 // PROTON	CPD-8215 // CPD-9557 // OXYGEN-MOLECULE // Donor-H2	RXN-14896 // RXN-9073 // RXN-9072
PWY-5802	RXN-9105	alizarin biosynthesis	alizarin biosynthesis				PWY-5802					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	PPI // ALIZARIN // CPD-4211 // DIHYDROXYNAPHTHOATE	CPD-4211 // DIHYDROXYNAPHTHOATE	RXN-9105
PWY-7080	RXN-13554 // 1.10.3.8-RXN // 1.10.3.7-RXN	asterrate biosynthesis	asterrate biosynthesis // asterric acid biosynthesis				PWY-7080					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-1907 // SULOCHRIN // OXYGEN-MOLECULE // CPD-14538 // PROTON // CPD-1901 // WATER	SULOCHRIN // OXYGEN-MOLECULE	RXN-13554 // 1.10.3.8-RXN // 1.10.3.7-RXN
PWY-5701	RXN-8924 // RXN-8923 // RXN-8922 // RXN-8921 // RXN-8920	shikonin biosynthesis	shikonin biosynthesis				PWY-5701					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	PPI // GERANYL-PP // 4-hydroxybenzoate // CARBON-DIOXIDE // CPD-9318 // Ox-NADPH-Hemoprotein-Reductases // CPD-9319 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-9320 // Donor-H2 // CPD-9322 // CPD-9321 // WATER // Acceptor	Acceptor // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // GERANYL-PP // 4-hydroxybenzoate	RXN-8924 // RXN-8923 // RXN-8922 // RXN-8921 // RXN-8920
PWY-5801	RXN-9103	lawsone biosynthesis	lawsone biosynthesis				PWY-5801					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-9608 // DIHYDROXYNAPHTHOATE	DIHYDROXYNAPHTHOATE	RXN-9103
PWY-7079	RXN-13553 // RXN-13552 // RXN-13551 // QUESTIN-MONOOXYGENASE-RXN // RXN-13550	geodin biosynthesis	geodin biosynthesis				PWY-7079					QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	PROTON // CPD-8215 // NADP // QUESTIN // NADPH // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // DESMETHYLSULOCHRIN // FAD // SULOCHRIN // CL- // FADH2 // WATER // CPD-14536 // CPD-14537 // OXYGEN-MOLECULE	OXYGEN-MOLECULE // CL- // FADH2 // S-ADENOSYLMETHIONINE // NADPH // CPD-8215	RXN-13553 // RXN-13552 // RXN-13551 // QUESTIN-MONOOXYGENASE-RXN // RXN-13550
PWY-7520	RXN-15622 // RXN-15621 // RXN-15610 // RXN-15611 // RXN-15609 // RXN-15608 // 2.6.1.28-RXN	terrequinone A biosynthesis	terrequinone A biosynthesis				PWY-7520					INDOLE-ALKALOIDS // QUINONE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	PHE // TRP // PHENYL-PYRUVATE // AMP // INDOLE_PYRUVATE // ATP // NAD // CPD-16844 // NADH // CPD-16845 // CPD-16846 // Donor-H2 // WATER // PPI // CPD-16849 // CPD-16848 // CPD-4211 // PROTON // Acceptor	CPD-4211 // PROTON // Acceptor // NADH // ATP // TRP // PHENYL-PYRUVATE	RXN-15622 // RXN-15621 // RXN-15610 // RXN-15611 // RXN-15609 // RXN-15608 // 2.6.1.28-RXN
PWY-5388	NICOTINATE-GLUCOSYLTRANSFERASE-RXN	N-glucosylnicotinate metabolism	N-glucosylnicotinate metabolism				PWY-5388					N-CONTAINING-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	UDP // CPD-446 // CPD-12575 // NIACINE	CPD-12575 // NIACINE	NICOTINATE-GLUCOSYLTRANSFERASE-RXN
PWY-7088	RXN-18144 // RXN-13622 // RXN-12240 // RXN-7749 // RXN-7748 // TYROSINE-N-MONOOXYGENASE-RXN // 2.4.1.178-RXN	taxiphyllin biosynthesis	taxiphyllin biosynthesis				PWY-7088					CYANOGENIC-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	UDP // CPD-1103 // CPD-12575 // TYR // CPD-267 // CARBON-DIOXIDE // CPD-7070 // PROTON // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-14590 // CPD-1074 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-1041 // CPD-2205	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // TYR // CPD-12575	RXN-18144 // RXN-13622 // RXN-12240 // RXN-7749 // RXN-7748 // TYROSINE-N-MONOOXYGENASE-RXN // 2.4.1.178-RXN
PWY-8081	RXN-20909 // RXN-20908 // RXN-20907 // RXN-20866 // RXN-20865 // RXN-20864 // RXN-20863 // RXN-20862 // RXN-20861 // RXN-20860 // RXN-20859 // RXN-20858 // RXN-20854 // RXN-20857 // RXN-20855 // RXN-20856	leucine-derived hydroxynitrile glucoside biosynthesis	leucine-derived hydroxynitrile glucoside biosynthesis				PWY-8081					CYANOGENIC-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-22477 // CPD-22476 // CPD-22474 // CPD-22479 // CPD-22481 // CPD-22475 // CPD-22483 // CPD-22482 // CPD-22484 // CPD-22478 // CPD-22480 // UDP // CPD-22486 // CPD-12575 // CPD-22485 // LEU // Ox-NADPH-Hemoprotein-Reductases // CPD-22531 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // WATER // CARBON-DIOXIDE // CPD-22473 // CPD-22532 // PROTON	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // LEU // CPD-12575	RXN-20909 // RXN-20908 // RXN-20907 // RXN-20866 // RXN-20865 // RXN-20864 // RXN-20863 // RXN-20862 // RXN-20861 // RXN-20860 // RXN-20859 // RXN-20858 // RXN-20854 // RXN-20857 // RXN-20855 // RXN-20856
PWY-5990	RXN-9643 // RXN-9642 // RXN-9641 // RXN-9640 // RXN-9639 // RXN-9638 // RXN-9636	lotaustralin biosynthesis	lotaustralin biosynthesis				PWY-5990	PWY-5991				CYANOGENIC-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	ILE // CPD-10271 // CARBON-DIOXIDE // CPD-10272 // CPD-10273 // CPD-10274 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-10275 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // PROTON // UDP // CPD-10277 // CPD-12575 // 2-Hydroxy-2-methylbutyronitriles	CPD-12575 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // ILE	RXN-9643 // RXN-9642 // RXN-9641 // RXN-9640 // RXN-9639 // RXN-9638 // RXN-9636
PWY-7824	RXN-18098 // 4.99.1.7-RXN // RXN-18094 // RXN-18095 // RXN-12065 // RXN-12068 // RXN-12067 // RXN-12066	prunasin and amygdalin biosynthesis	prunasin and amygdalin biosynthesis				PWY-7824					CYANOGENIC-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	PHE // CPD-13029 // CARBON-DIOXIDE // CPD-13030 // CPD-13031 // PROTON // UDP // CPD-1125 // CPD-12575 // CPD-553 // PHENYLACETALDOXIME // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-12702 // PHENYLACETONITRILE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD-12575 // PHE	RXN-18098 // 4.99.1.7-RXN // RXN-18094 // RXN-18095 // RXN-12065 // RXN-12068 // RXN-12067 // RXN-12066
PWY-3022	LINAMARIN-SYNTHASE-RXN // RXN-5082 // RXN-5081 // RXN-5066 // RXN-5065 // RXN-5064 // RXN-5063	linamarin biosynthesis	linamarin biosynthesis				PWY-3022	PWY-5991				CYANOGENIC-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	VAL // CPD-4862 // CARBON-DIOXIDE // CPD-4863 // 2-METHYLPROPANAL-OXIME // CPD-4861 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-4864 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // UDP // LINAMARIN // PROTON // CPD-12575 // 2-HYDROXY-2-METHYLPROPANENITRILE	CPD-12575 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // VAL	LINAMARIN-SYNTHASE-RXN // RXN-5082 // RXN-5081 // RXN-5066 // RXN-5065 // RXN-5064 // RXN-5063
PWY-7095	RXN-13598	"3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis"	"3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis"				PWY-7095					CYANOGENIC-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	PROTON // UDP // CPD-14593 // CPD-12575 // CPD-14592	CPD-12575 // CPD-14592	RXN-13598
PWY-861	RXN-18144 // 1.14.13.42-RXN // RXN-12240 // RXN-7749 // RXN-7748 // RXN-743 // TYROSINE-N-MONOOXYGENASE-RXN	dhurrin biosynthesis	dhurrin biosynthesis				PWY-861					CYANOGENIC-GLUCOSIDE-SYN		SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TYR // CPD-1042 // UDP // CPD-12575 // CPD-267 // CARBON-DIOXIDE // CPD-7070 // PROTON // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-648 // CPD-1074 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD-1041 // CPD-2205	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD-12575 // TYR	RXN-18144 // 1.14.13.42-RXN // RXN-12240 // RXN-7749 // RXN-7748 // RXN-743 // TYROSINE-N-MONOOXYGENASE-RXN
